0	328.367	0.72005
1	324.929	0.51708
2	392.284	0.64024
3	392.059	0.55305
4	381.639	0.87294
5	396.194	0.61725
6	383.715	0.65621
7	387.625	0.62519
8	375.343	0.47644
9	322.261	0.40367
10	332.879	0.34787
11	332.576	0.37916
12	318.575	0.32997
13	327.764	0.35072
14	336.189	0.33392
15	331.497	0.402
16	317.428	0.35693
17	342.717	0.38868
18	329.099	0.43572
19	383.977	0.9623
20	381.012	0.80531
21	380.351	1.22239
22	392.81	1.2547
23	389.037	1.25483
24	390.09	1.56691
25	416.135	1.88771
26	383.404	0.87944
27	387.155	1.27714
28	390.792	1.53847
29	403.786	2.16887
30	390.417	1.29676
31	397.833	1.23487
32	376.808	1.07015
33	375.042	1.25479
34	377.453	0.72652
35	392.38	0.80071
36	398.393	0.80207
37	364.365	1.11072
76	304.455	0.71018
77	312.272	0.54386
78	311.973	0.5331
79	319.041	0.44362
80	315.937	0.55407
81	319.906	0.59231
82	329.637	0.48963
83	324.749	0.63981
84	325.322	0.55117
85	319.328	0.55416
86	326.245	0.54974
87	322.677	0.52133
88	326.589	0.57489
89	332.243	0.50055
90	317.967	0.38756
91	320.426	0.38605
92	325.589	0.37754
93	334.702	0.38912
94	332.481	0.29868
95	371.281	0.46383
96	385.567	0.57416
97	367.551	0.46404
98	375.992	0.44804
99	388.44	0.55129
100	387.006	0.48764
101	398.507	0.41247
102	387.252	0.50759
103	384.492	0.42457
104	377.562	0.35309
105	319.971	0.2169
106	317.43	0.22654
107	318.25	0.23226
108	319.921	0.26186
109	302.463	0.24569
110	301.247	0.25562
111	308.721	0.27146
112	375.439	0.65567
113	380.821	0.99485
